v1	V(va)	V(vb)	V(vc)
Step Information: Rt=1K Rp=1K  (Step: 1/100)
3.100000000000001e+00	3.100000e+00	2.583333e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.666667e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.750000e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	2.833333e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	2.916667e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	3.000000e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	3.083333e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	3.166667e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	3.250000e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	3.333333e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	3.416667e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.500000e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	3.583333e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.666667e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.750000e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	3.833333e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	3.916667e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	4.000000e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	4.083333e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	4.166667e+00	4.545455e+00
Step Information: Rt=4K Rp=1K  (Step: 4/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	7.894737e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.578947e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.368421e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	3.157895e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	3.947369e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	4.736842e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	5.526316e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	6.315789e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	7.105263e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	7.894737e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	8.684211e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	9.473684e-01	1.090909e+00
1.300000000000000e+00	1.300000e+00	1.026316e+00	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.105263e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.184211e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.263158e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.342105e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.421053e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.500000e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.578947e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.657895e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.736842e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	1.815789e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	1.894737e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	1.973684e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	2.052632e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	2.131579e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	2.210526e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	2.289474e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.368421e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.447368e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.526316e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.605263e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	2.684211e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	2.763158e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	2.842105e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	2.921053e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	3.000000e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	3.078947e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	3.157895e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	3.236842e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.315789e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	3.394737e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.473684e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.552632e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	3.631579e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	3.710526e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	3.789474e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	3.868421e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	3.947368e+00	4.545455e+00
Step Information: Rt=5K Rp=1K  (Step: 5/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	7.500000e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.500000e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.250000e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	3.000000e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	3.750000e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	4.500000e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	5.250000e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	6.000000e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	6.750000e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	7.500000e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	8.250000e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	9.000000e-01	1.090909e+00
1.300000000000000e+00	1.300000e+00	9.750000e-01	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.050000e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.125000e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.200000e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.275000e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.350000e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.425000e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.500000e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.575000e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.650000e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	1.725000e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	1.800000e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	1.875000e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	1.950000e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	2.025000e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	2.100000e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	2.175000e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.250000e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.325000e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.400000e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.475000e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	2.550000e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	2.625000e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	2.700000e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	2.775000e+00	3.363636e+00
